01-01-2005,Cessna 551 Citation II,N35403,Jet Services,0,A1
04-01-2005,Boeing 737-2A9C,PK-YGM,Tri-MG Airlines,0,A1
06-01-2005,Antonov 32,PNP-234,Peruvian Police,0,A2
06-01-2005,Canadair Regional Jet CRJ-200ER,VT-SAL,Sahara India,0,A2
08-01-2005,Antonov 12,9Q-CIH,Service Air,6,A1
08-01-2005,MD-83,VP-BGI,Aero República,0,A1
13-01-2005,Embraer 110P1 Bandeirante,N49BA,AirNow,1,A1
13-01-2005,Antonov 2,RA-62597,Tura Air Enterprise,9,A1
21-01-2005,Cessna 208B Grand Caravan,CP-2412,Línea Aérea Amaszonas,0,A1
22-01-2005,Antonov 8,EL-WVA,GLBC,0,A1
24-01-2005,Boeing 747-212BSF,N808MC,Atlas Air,0,A1
25-01-2005,Dornier 228-101,D-CICE,Alfred Wegener Inst.,0,A1
27-01-2005,Let L-410UVP-E4,HA-LAR,Farnair Hungary,2,A1
28-01-2005,Learjet 35A,N911AE,Million Air,0,A1
30-01-2005,Lockheed Hercules C.1,XV179,RAF,10,C1
31-01-2005,Cessna 208B Super Cargomaster,SE-KYH,NTD Air Cargo,0,A1
31-01-2005,ATR-42-320,OY-JRJ,,0,A2
02-02-2005,Canadair CL-600-1A11 Challenger 600,N370V,DDH Aviation opf. Platinum Jet Management,0,A1
03-02-2005,Ilyushin 76TD,ST-EWB,Air West,7,A1
03-02-2005,Boeing 737-242,EX-037,Phoenix Aviation opf. Kam Air,104,A1
06-02-2005,DHC-8-315 Q300,6V-AHL,Air Sénégal International,0,A2
13-02-2005,Dassault Falcon 20C,PR-SUL,JetSul Táxi Aéreo,0,A1
16-02-2005,Cessna 560 Citation V,N500AT,Circuit City Stores,8,A1
21-02-2005,Hawker Siddeley HS-125-600A,N21SA,Scott Aviation,0,A1
22-02-2005,DHC-6 Twin Otter 300,P2-MFQ,MAF,2,A1
22-02-2005,CASA/Nurtanio NC-212 Aviocar 100,P-2032,Indonesian Police,15,A1
22-02-2005,Convair CV-580,FAB-73,TAM,0,A1
23-02-2005,DHC-6 Twin Otter 300,PK-LTY,GT Air,0,A2
24-02-2005,IAI 1124 Westwind,XC-COL,Colima State Government,7,A1
24-02-2005,CASA C-212 Aviocar 200,,Zimbabwe AF,2,A1
27-02-2005,Beechcraft 200 Super King Air,N988SC,Trust Aviation Inc.,0,A1
04-03-2005,Antonov 24B,EY-46399,Trans Air Congo,0,A1
07-03-2005,Airbus A310-304ET,F-OJHH,Mahan Air,0,A2
08-03-2005,Cessna 500 Citation I,YV-21CP,Air Global,2,A1
08-03-2005,Antonov 2TP,YV-280C,Transmandu,2,A1
09-03-2005,Cessna 208B Grand Caravan,V3-HFW,Tropic Air,0,A1
11-03-2005,Canadair Regional Jet CRJ-440LR,N8932C,Pinnacle Airlines opf. Northwest Airlink,0,A2
15-03-2005,Pilatus BN-2B-26 Islander,G-BOMG,Loganair,2,A1
15-03-2005,Antonov 26B-100,OB-1778-P,ATSA,0,A2
16-03-2005,Antonov 24RV,RA-46489,Kuzbassaviafrakht opf. Regional Airlines,28,A1
18-03-2005,Canadair CL-215-6B11 (CL-415),I-DPCK,Dipartimento della Protezione Civile Italiana opf. SOREM,2,A1
19-03-2005,Boeing 707-3K1C,9G-IRL,Cargo Plus Aviation opf. Ethiopian Airlines,0,A1
23-03-2005,Ilyushin 76TD,ER-IBR,Airline Transport,8,A1
24-03-2005,MD-88,EC-FLK,Iberia,0,O1
25-03-2005,Antonov 2R,UR-17998,Mariupol'sky Metallurgical Combine,0,A1
26-03-2005,Let L-410UVP-E,HK-4146,West Caribbean Airways,9,A1
28-03-2005,Ilyushin 18D-40,CU-T1539,Aerocaribbean,0,A1
29-03-2005,Cessna 208B Grand Caravan,PT-MPA,Penta,0,A1
29-03-2005,Antonov 2R,YV-2447P,Unknown,0,A2
30-03-2005,Swearingen SA227-AC Metro III,N811BC,IBC Airways,0,A2
31-03-2005,Lockheed MC-130H Hercules,87-0127,USAF,9,A1
31-03-2005,Antonov 12B,UN-11007,RPS Air Freight,0,A1
31-03-2005,Antonov 28,3C-ZZY,Gran Propeller,3,A1
07-04-2005,Fokker F-28 Fellowship 4000,HC-CDA,ICARO,0,A1
12-04-2005,DHC-6 Twin Otter 100,PK-LTZ,GT Air,17,A1
18-04-2005,Beechcraft B200 Catpass 250,OB-1700,Aero Condor,0,A1
20-04-2005,Boeing 707-3J9C,EP-SHE,Saha Air,3,A1
20-04-2005,Lockheed P-3B Orion,N926AU,Aero Union,3,A1
24-04-2005,Antonov 2,,Ulyanovsk ROSTO,0,A1
25-04-2005,Antonov 12BP,UN-11003,ATMA Airlines,0,A1
25-04-2005,Antonov 2R,RA-40490,Aviakhim,0,A1
28-04-2005,Let L-410UVP,EP-830,Peruvian Army,13,A1
01-05-2005,DHC-8-103,LN-WIK,Widerøes Flyveselskap,0,A1
02-05-2005,Swearingen SA227-AC Metro III,ZK-POA,Airwork NZ,2,A1
05-05-2005,Antonov 26,,Aeroworld opf. Kisangani Airlift,10,A1
05-05-2005,DC-9-31,N960N,Northwest Airlines,0,O1
06-05-2005,Swearingen SA227-AC Metro III,C6-REX,Western Air,0,A2
07-05-2005,Swearingen SA227-DC Metro 23,VH-TFU,Transair Australia opf. Aero-Tropics,15,A1
09-05-2005,Rockwell Sabreliner 80,N972NR,Compass Acquisitions,0,A2
10-05-2005,DC-9-51,N763NC,Northwest Airlines,0,A1
10-05-2005,Airbus A319-114,N368NB,Northwest Airlines,0,A2
11-05-2005,Antonov 2,UR-84559,Bosfor,2,A1
15-05-2005,Cessna 525A CitationJet CJ2,OY-JET,Weibel Scientific,0,A2
16-05-2005,BN-2A-26 Islander,C6-ASA,Flamingo Air Charter,0,A1
18-05-2005,Harbin Yunshuji Y-12-II,AF-216,Zambia AF,13,A1
20-05-2005,Dassault Falcon 20C,RA-09007,Jet 2000,0,A1
22-05-2005,Boeing 767-31KER,C-GLMC,Skyservice Airlines,0,A2
24-05-2005,Beechcraft 300 Super King Air 350,YV-783CP,,2,A1
25-05-2005,Antonov 12BP,9Q-CVG,Victoria Air,27,A1
02-06-2005,Antonov 24B,ST-WAL,al-Majal Company opf. Marsland Aviation,7,A1
02-06-2005,Let L-410UVP-E3,TG-TAG,TAG,0,A1
04-06-2005,DHC-6 Twin Otter 200,N3434,AerOhio,0,A1
06-06-2005,Douglas DC-3A,HK-3462,TARI,0,A1
07-06-2005,MD-11F,N250UP,UPS,0,A2
08-06-2005,Saab 340A,N40SZ,Shuttle America opf. United Express,0,A1
10-06-2005,Hawker Siddeley HS-780 Andover C.1,5Y-SFE,748 Air Services,0,A1
10-06-2005,Lockheed L-100-30 Hercules,S9-BAS,Transafrik opf. UN,0,A1
12-06-2005,Boeing 727-2M7,5N-BCF,Chanchangi Airlines,0,A2
13-06-2005,Douglas Super R4D-8 (DC-3S),N3906J,Air Pony Express,0,A1
15-06-2005,Dornier Do 28D-2 Skyservant,YV-664CP,Revemin-Bonanza Mining,0,A1
19-06-2005,Douglas C-47B-35-DK (DC-3),9Q-CWI,Wimbi Dira Airways,0,A1
19-06-2005,Boeing 707-347C,C5-MBM,Mahfooz Aviation,0,A1
27-06-2005,Boeing 737-2K5,C6-BFM,Bahamasair,0,A2
28-06-2005,Cessna 208 Caravan I,N9324F,Air Serv International,0,A1
29-06-2005,Fokker 100,5N-COO,IRS Airlines,0,A2
29-06-2005,Antonov 26,9Q-CAW,Volga Atlantic Airlines opf. Mango Airlines,,A1
30-06-2005,Dornier 228-201,9N-AEO,Gorkha Airlines,0,A1
01-07-2005,DC-10-30ER,S2-ADN,Biman Bangladesh,0,A1
